Job Title,Salary Estimate,Rating,Company Name,Location,Size,Type of ownership,Hourly,upd_salary,Company text,job_state
Data Scientist,"$92,323 /yr (est.)",4.0,"Navigate360 Llc
4.0","Richfield, OH",51 to 200 Employees,Company - Private,0,92323.0,Navigate360 Llc, OH
Junior Data Scientist,"$88,462 /yr (est.)",3.3,"FocusKPI Inc.
3.3","Boston, MA",51 to 200 Employees,Company - Private,0,88462.0,FocusKPI Inc., MA
Data Scientist,"$93,320 /yr (est.)",4.0,"Advanced Regenerative Manufacturing Institute Inc
4.0","Manchester, NH",1 to 50 Employees,-1,0,93320.0,Advanced Regenerative Manufacturing Institute Inc, NH
Junior Scientific Programmer/Data Scientist,"$83,988 /yr (est.)",4.2,"University of Minnesota
4.2","Minneapolis, MN",10000+ Employees,-1,0,83988.0,University of Minnesota, MN
"Data Scientist, University Graduate - 2023 Start (BS/MS)","$138,475 /yr (est.)",3.6,"TikTok
3.6","Mountain View, CA",1001 to 5000 Employees,Company - Private,0,138475.0,TikTok, CA
Data Scientist II - Data Scientist - Analytics,"$132,662 /yr (est.)",3.6,"Lakeland Regional Health
3.6",Remote,1001 to 5000 Employees,-1,0,132662.0,Lakeland Regional Health,Remote
11th Hour Staff Data Scientist,"$142,503 /yr (est.)",4.2,"The University of Chicago
4.2","Chicago, IL",10000+ Employees,-1,0,142503.0,The University of Chicago, IL
Data Scientist,$70.00 /hr (est.),4.3,"Infinity Quest
4.3",Remote,201 to 500 Employees,Company - Private,1,70.0,Infinity Quest,Remote
Data Scientist - Life Sciences,"$94,066 /yr (est.)",4.5,"Argonne National Laboratory
4.5","Lemont, IL",1001 to 5000 Employees,-1,0,94066.0,Argonne National Laboratory, IL
Data Scientist,"$95,755 /yr (est.)",3.4,"Inspire Brands
3.4","Atlanta, GA",10000+ Employees,Company - Private,0,95755.0,Inspire Brands, GA
2023 SETUP Technology Full Time Program – Data Scientist - New York,"$77,500 /yr (est.)",3.7,"BNY Mellon
3.7","Jersey City, NJ",10000+ Employees,-1,0,77500.0,BNY Mellon, NJ
Data Scientist,"$81,809 /yr (est.)",4.0,"Grinnell College
4.0","Grinnell, IA",501 to 1000 Employees,-1,0,81809.0,Grinnell College, IA
Data Scientist I,"$110,617 /yr (est.)",2.8,"Vibrant Emotional Health
2.8","New York, NY",201 to 500 Employees,-1,0,110617.0,Vibrant Emotional Health, NY
DATA SCIENTIST,"$170,757 /yr (est.)",4.1,"US Department of the Air Force - Agency Wide
4.1","Fort Meade, MD",10000+ Employees,-1,0,170757.0,US Department of the Air Force - Agency Wide, MD
Data Scientist,"$93,398 /yr (est.)",4.1,"US Centers for Medicare & Medicaid Services
4.1","Wallops Island, VA",5001 to 10000 Employees,-1,0,93398.0,US Centers for Medicare & Medicaid Services, VA
Data Scientist,"$120,000 /yr (est.)",4.2,"Bayer
4.2","Chesterfield, MO",10000+ Employees,-1,0,120000.0,Bayer, MO
"Director, Data Scientist (GDSI) - Care Gap","$155,042 /yr (est.)",3.9,"Gilead Sciences
3.9","Foster City, CA",10000+ Employees,-1,0,155042.0,Gilead Sciences, CA
Data Science - Data Science Management Program (DSMP),"$133,256 /yr (est.)",5.0,"Blackstone Group
5.0","New York, NY",Unknown,-1,0,133256.0,Blackstone Group, NY
Data Scientist,"$103,856 /yr (est.)",3.6,"INFICON, Inc.
3.6","East Syracuse, NY",1001 to 5000 Employees,-1,0,103856.0,"INFICON, Inc.", NY
Machine Learning Research Scientist - Natural Language Processing,"$180,900 /yr (est.)",4.3,"Toyota Research Institute
4.3","Los Altos, CA",201 to 500 Employees,-1,0,180900.0,Toyota Research Institute, CA
Data Scientist,"$94,470 /yr (est.)",4.1,"Flock Safety
4.1","Atlanta, GA",501 to 1000 Employees,-1,0,94470.0,Flock Safety, GA
Data Scientist,"$98,995 /yr (est.)",4.4,"GTA (Global Technology Associates)
4.4","Reston, VA",Unknown,Company - Private,0,98995.0,GTA (Global Technology Associates), VA
Geospatial Data Scientist,"$155,000 /yr (est.)",-1.0,EpochGeo,"Washington, DC",-1,-1,0,155000.0,EpochGeo, DC
Open opportunity: biomedical data scientist!,"$135,000 /yr (est.)",5.0,"Data Tecnica
5.0","Glen Echo, MD",Unknown,Company - Private,0,135000.0,Data Tecnica, MD
"Data Scientist or Statistician, Postdoc","$93,500 /yr (est.)",3.9,"UT Southwestern Medical Center
3.9",Remote,10000+ Employees,-1,0,93500.0,UT Southwestern Medical Center,Remote
Data Scientist / Quantitative Analyst,"$109,226 /yr (est.)",4.4,"Wolverine Trading
4.4","Chicago, IL",201 to 500 Employees,Company - Private,0,109226.0,Wolverine Trading, IL
Jr. Data Scientist,"$98,000 /yr (est.)",4.8,"WhirlWind Technologies, LLC
4.8",Remote,1 to 50 Employees,-1,0,98000.0,"WhirlWind Technologies, LLC",Remote
Data Scientist III,$86.00 /hr (est.),4.5,"ComTec Information Systems
4.5",Remote,501 to 1000 Employees,Company - Private,1,86.0,ComTec Information Systems,Remote
Data Scientist,"$142,693 /yr (est.)",5.0,"Vori
5.0","Palo Alto, CA",1 to 50 Employees,Company - Private,0,142693.0,Vori, CA
Data Visualization Specialist,"$82,401 /yr (est.)",3.8,"BDO
3.8","San Francisco, CA",10000+ Employees,Company - Private,0,82401.0,BDO, CA
