Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
"Data Scientist, Marketing","$151,806 /yr (est.)",4.3,"KAYAK
4.3","Cambridge, MA",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Senior Data Scientist,"$129,536 /yr (est.)",3.2,"AMC Health
3.2","New York, NY",-1,51 to 200 Employees,-1,Company - Private,-1,-1,-1,-1
"Data Scientist, University Graduate (Global E-commerce Risk Control)- 2023 Start (MS)","$134,155 /yr (est.)",3.6,"TikTok
3.6","Seattle, WA",-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,-1,3.6,"Ivy Tech Solutions inc
3.6",Remote,-1,51 to 200 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,"$125,491 /yr (est.)",3.6,"National Security Agency
3.6","Fort Meade, MD",-1,Unknown,-1,-1,-1,-1,-1,-1
Data Scientist,"$101,852 /yr (est.)",4.3,"Roche
4.3","Indianapolis, IN",-1,5001 to 10000 Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$106,856 /yr (est.)",2.0,"Northbeam
2.0","Denver, CO",-1,1 to 50 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,-1,3.6,"Integra Connect
3.6",Remote,-1,1001 to 5000 Employees,2014,Company - Private,-1,-1,-1,-1
Asst Staff - Signal & Data Processing,"$54,241 /yr (est.)",4.3,"MIT Lincoln Laboratory
4.3","Lexington, MA",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Embedded AI Processing Engineer,"$87,452 /yr (est.)",4.3,"MIT Lincoln Laboratory
4.3","Lexington, MA",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Data Scientist,$70.00 /hr (est.),5.0,"Hireups
5.0",Remote,-1,1 to 50 Employees,-1,-1,-1,-1,-1,-1
Data Scientist - Role can be remote,"$106,661 /yr (est.)",4.3,"Mars
4.3","Chicago, IL",-1,10000+ Employees,-1,Company - Private,-1,-1,-1,-1
Healthcare Data Scientist,-1,4.2,"John Snow Labs
4.2",Remote,-1,51 to 200 Employees,-1,Company - Private,-1,-1,-1,-1
Scientist I - Neurophysiology Data Analysis,"$85,031 /yr (est.)",3.8,"Allen Institute
3.8","Seattle, WA",-1,201 to 500 Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$111,421 /yr (est.)",3.6,"bluebird bio
3.6","Somerville, MA",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$7,501 /mo (est.)",3.7,"City of Grand Junction, Colorado
3.7","Grand Junction, CO",-1,201 to 500 Employees,-1,-1,-1,-1,-1,-1
Data Analyst,"$67,848 /yr (est.)",3.5,"BEN Group, Inc
3.5","Los Angeles, CA",-1,201 to 500 Employees,2014,Company - Private,Advertising & Public Relations,Media & Communication,$25 to $100 million (USD),-1
Principal Data Scientist,"$133,755 /yr (est.)",4.0,"Corteva Agriscience
4.0","Des Moines, IA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Associate Data Scientist,-1,3.1,"Dyson
3.1","Chicago, IL",-1,10000+ Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,"$123,250 /yr (est.)",3.8,"The New York Times
3.8","New York, NY",-1,1001 to 5000 Employees,-1,-1,-1,Media & Communication,-1,-1
Data Scientist,"$95,536 /yr (est.)",4.0,"Steelcase
4.0","Grand Rapids, MI",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Jr. Data Scientist,"$78,285 /yr (est.)",3.1,"Primrose School Franchising Company
3.1","Atlanta, GA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,$65.71 /hr (est.),-1,Pennsylvania Enterprise Private Limited,"Jackson, MS",-1,1 to 50 Employees,-1,Company - Private,-1,-1,-1,-1
Artificial Intelligence Researcher,"$90,627 /yr (est.)",4.3,"MIT Lincoln Laboratory
4.3","Lexington, MA",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Data Scientist (Remote Option),"$85,000 /yr (est.)",4.4,"University of Michigan
4.4","Ann Arbor, MI",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$117,526 /yr (est.)",3.9,"HotSchedules
3.9","Sofia, NM",-1,201 to 500 Employees,-1,Company - Private,-1,-1,$25 to $100 million (USD),-1
Data Scientist / Machine Learning Engineer,"$130,867 /yr (est.)",4.6,"Databricks
4.6","West, TX",-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,"$105,772 /yr (est.)",4.5,"Apixio
4.5","San Diego, CA",-1,51 to 200 Employees,-1,Company - Private,-1,-1,$25 to $100 million (USD),-1
Data Scientist,"$162,500 /yr (est.)",3.8,"Verizon
3.8","New York, NY",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Forensic Scientist Data Review I (NDOT),"$55,548 /yr (est.)",3.8,"Abbott Laboratories
3.8","Gretna, LA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$109,952 /yr (est.)",4.5,"Coalition
4.5","San Francisco, CA",-1,201 to 500 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,"$82,228 /yr (est.)",3.5,"Domino's Corporate
3.5","Ann Arbor, MI",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Innovation Lead - Data Science & Innovation,"$106,422 /yr (est.)",4.3,"Novo Nordisk
4.3","Cambridge, MA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$135,093 /yr (est.)",-1,Snowrelic INC,Remote,-1,Unknown,-1,-1,-1,-1,-1,-1
Data Scientist,"$92,323 /yr (est.)",4.0,"Navigate360 Llc
4.0","Richfield, OH",-1,51 to 200 Employees,-1,Company - Private,-1,-1,$25 to $100 million (USD),-1
Junior Data Scientist,"$88,462 /yr (est.)",3.3,"FocusKPI Inc.
3.3","Boston, MA",-1,51 to 200 Employees,-1,Company - Private,Advertising & Public Relations,Media & Communication,-1,-1
Data Scientist,"$93,320 /yr (est.)",4.0,"Advanced Regenerative Manufacturing Institute Inc
4.0","Manchester, NH",-1,1 to 50 Employees,-1,-1,-1,-1,-1,-1
